,date,state,positive,negative,hospitalized_currently,in_icu_currently,on_ventilator_currently,hospitalized_cumulative,in_icu_cumulative,on_ventilator_cumulative,recovered,death_increase,death,hospitalized_increase,hospitalized,positive_increase,negative_increase,positive_tests_viral,negative_tests_viral,total_test_results_increase,data_quality_grade,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_nhpi,cases_multiracial,cases_other,cases_unknown,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_ethnicity_hispanic,deaths_other,deaths_unknown
94,20200714,OH,67995.0,975754.0,1017.0,314.0,156.0,9049.0,2223.0,,46282.0,5,3069.0,134,9049.0,1142,17856,,,18998,B,,,,,,,,,,,,,,,,,,,,
95,20200714,OK,21738.0,419556.0,546.0,234.0,,2116.0,,,16635.0,4,428.0,53,2116.0,993,19519,24383.0,419556.0,20512,A+,,,,,,,,,,,,,,,,,,,,
96,20200714,OR,12805.0,292651.0,235.0,64.0,35.0,1254.0,,,3129.0,7,244.0,20,1254.0,367,4377,,292651.0,4744,A+,,,,,,,,,,,,,,,,,,,,
97,20200714,PA,96671.0,850612.0,678.0,,95.0,,,,74436.0,20,6931.0,0,,929,14880,,,15809,A+,,,,,,,,,,,,,,,,,,,,
98,20200714,PR,10123.0,192686.0,206.0,14.0,9.0,,,,,2,169.0,0,,113,0,2627.0,191601.0,113,B,,,,,,,,,,,,,,,,,,,,
99,20200714,RI,17588.0,157070.0,69.0,5.0,3.0,2070.0,,,1692.0,1,985.0,4,2070.0,101,1314,25653.0,268191.0,1415,A+,,,,,,,,,,,,,,,,,,,,
100,20200714,SC,60389.0,457092.0,1550.0,,,3744.0,,,23849.0,21,993.0,346,3744.0,2221,8159,75115.0,442197.0,10380,A,,,,,,,,,,,,,,,,,,,,
101,20200714,SD,7572.0,84592.0,62.0,,,744.0,,,6599.0,0,109.0,2,744.0,48,738,,,786,B,,,,,,,,,,,,,,,,,,,,
102,20200714,TN,66788.0,1005100.0,1222.0,,,3378.0,,,38272.0,18,767.0,94,3378.0,1514,16413,77673.0,993647.0,17927,A,,,,,,,,,,,,,,,,,,,,
103,20200714,TX,275058.0,2323622.0,10569.0,,,,,,142398.0,87,3322.0,0,,10745,47810,,,58555,B,,,,,,,,,,,,,,,,,,,,
104,20200714,UT,30478.0,394043.0,231.0,80.0,,1888.0,505.0,210.0,18111.0,10,226.0,38,1888.0,448,5738,,,6186,A+,,,,,,,,,,,,,,,,,,,,
105,20200714,VA,72443.0,758407.0,1127.0,249.0,112.0,10550.0,,,9423.0,9,1977.0,91,10550.0,801,16034,,,16835,A+,,,,,,,,,,,,,,,,,,,,
106,20200714,VI,206.0,4084.0,,,,,,,96.0,0,6.0,0,,0,0,,,0,C,,,,,,,,,,,,,,,,,,,,
107,20200714,VT,1305.0,76319.0,15.0,,,,,,1099.0,0,56.0,0,,4,1039,,,1043,B,,,,,,,,,,,,,,,,,,,,
108,20200714,WA,41757.0,666517.0,332.0,,39.0,4778.0,,,,-39,1399.0,27,4778.0,1101,21168,,,22269,B,,,,,,,,,,,,,,,,,,,,
109,20200714,WI,41349.0,673195.0,293.0,83.0,,3892.0,804.0,,29275.0,6,833.0,42,3892.0,967,13716,,,14683,A+,,,,,,,,,,,,,,,,,,,,
110,20200714,WV,4407.0,209605.0,59.0,24.0,7.0,,,,2982.0,1,97.0,0,,148,5639,,,5787,B,,,,,,,,,,,,,,,,,,,,
111,20200714,WY,1951.0,38077.0,14.0,,,128.0,,,1462.0,1,22.0,4,128.0,89,0,1592.0,53324.0,89,B,,,,,,,,,,,,,,,,,,,,
112,20200713,AK,1539.0,145051.0,22.0,,0.0,,,,620.0,0,17.0,0,,60,1055,,,1115,A,,,,,,,,,,,,,,,,,,,,
113,20200713,AL,55545.0,464059.0,1335.0,,,6745.0,919.0,505.0,25783.0,3,1124.0,0,6745.0,1958,6140,,,8098,B,,,,,,,,,,,,,,,,,,,,
114,20200713,AR,28939.0,354035.0,439.0,,89.0,1836.0,,269.0,22106.0,2,323.0,14,1836.0,572,0,,,572,A,,,,,,,,,,,,,,,,,,,,
115,20200713,AS,0.0,816.0,,,,,,,,0,0.0,0,,0,0,,,0,C,,,,,,,,,,,,,,,,,,,,
116,20200713,AZ,123824.0,578602.0,3373.0,936.0,671.0,5839.0,,,15254.0,8,2245.0,44,5839.0,1357,4897,,,6254,A+,,,,,,,,,,,,,,,,,,,,
117,20200713,CA,329162.0,5215203.0,7895.0,2021.0,,,,,,23,7040.0,0,,8358,129408,,,137766,B,,,,,,,,,,,,,,,,,,,,
118,20200713,CO,36913.0,362452.0,324.0,,,5895.0,,,4780.0,0,1586.0,10,5895.0,322,6940,,,7262,A,,,,,,,,,,,,,,,,,,,,
119,20200713,CT,47510.0,541808.0,74.0,,,10552.0,,,8351.0,23,4371.0,0,10552.0,223,30886,,,31109,B,,,,,,,,,,,,,,,,,,,,
120,20200713,DC,10906.0,119314.0,93.0,25.0,16.0,,,,1756.0,0,568.0,0,,59,3278,,,3337,A+,,,,,,,,,,,,,,,,,,,,
121,20200713,DE,12879.0,126484.0,49.0,12.0,,,,,7139.0,0,517.0,0,,75,1879,,,1954,A+,,,,,,,,,,,,,,,,,,,,
122,20200713,FL,282435.0,2357139.0,8051.0,,,18817.0,,,,35,4381.0,227,18817.0,12624,52943,351831.0,2908137.0,65567,A,,,,,,,,,,,,,,,,,,,,
123,20200713,GA,120569.0,987398.0,2600.0,,,13476.0,2643.0,,,25,3026.0,217,13476.0,3643,20908,109888.0,998079.0,24551,A,,,,,,,,,,,,,,,,,,,,
